Data;Loja;Produto;Categoria;Quantidade;Preço Unitário;Total Venda;Cliente_ID;Forma_Pagamento
2022-01-18;Loja B;Refrigerante;Bebidas;3;7.5;22.5;6727;Dinheiro
2024-12-29;Loja B;Leite;Alimentos;5;14.74;73.7;2120;Transferência
2023-03-21;Loja C;Refrigerante;Bebidas;2;23.24;46.48;5353;Transferência
2022-08-03;Loja C;Feijão;Alimentos;4;26.75;107.0;6835;Transferência
2022-06-29;Loja C;Feijão;Alimentos;7;30.47;213.29;5824;Dinheiro
2023-12-27;Loja A;Refrigerante;Bebidas;9;15.64;140.76;8287;Pix
2022-02-20;Loja B;Leite;Alimentos;5;19.59;97.95;4872;Dinheiro
2023-05-01;Loja C;Feijão;Alimentos;7;39.36;275.52;5169;Cartão
2023-06-13;Loja A;Arroz;Alimentos;9;2.75;24.75;2876;Cartão
2023-02-24;Loja C;Sabão em Pó;Limpeza;4;4.29;17.16;3029;Dinheiro
2022-03-29;Loja B;Pasta de Dente;Higiene;2;31.21;62.42;1659;Dinheiro
2024-10-26;Loja A;Refrigerante;Bebidas;2;16.74;33.48;5087;Cartão
2024-10-28;Loja B;Açúcar;Alimentos;5;21.0;105.0;1609;Cartão
2024-06-20;Loja C;Refrigerante;Bebidas;2;2.91;5.82;9371;Transferência
2024-06-01;Loja B;Arroz;Alimentos;5;10.27;51.35;4418;Pix
2023-09-25;Loja B;Cerveja;Bebidas;9;22.04;198.36;7318;Pix
2022-02-14;Loja A;Feijão;Alimentos;3;28.47;85.41;9480;Cartão
2023-08-08;Loja C;Açúcar;Alimentos;9;34.16;307.44;8996;Pix
2023-06-05;Loja B;Leite;Alimentos;3;24.99;74.97;8362;Pix
2023-06-02;Loja B;Pasta de Dente;Higiene;6;29.71;178.26;4321;Transferência
2022-03-04;Loja B;Sabão em Pó;Limpeza;5;16.05;80.25;5777;Pix
2022-05-28;Loja C;Sabão em Pó;Limpeza;7;26.15;183.05;2164;Transferência
2023-10-16;Loja B;Arroz;Alimentos;9;16.59;149.31;4498;Dinheiro
2023-04-09;Loja C;Shampoo;Higiene;4;35.25;141.0;7447;Cartão
2023-09-17;Loja B;Sabão em Pó;Limpeza;5;41.55;207.75;4349;Pix
2022-06-12;Loja A;Sabão em Pó;Limpeza;7;23.95;167.65;3882;Cartão
2022-01-01;Loja B;Detergente;Limpeza;4;44.87;179.48;4135;Pix
2023-01-20;Loja A;Cerveja;Bebidas;9;23.24;209.16;2471;Transferência
2023-01-27;Loja B;Arroz;Alimentos;1;45.05;45.05;6029;Pix
2023-05-10;Loja A;Sabão em Pó;Limpeza;2;47.25;94.5;6759;Dinheiro
2022-01-08;Loja A;Shampoo;Higiene;1;20.32;20.32;5852;Cartão
2023-12-09;Loja C;Pasta de Dente;Higiene;9;23.24;209.16;8619;Cartão
2023-06-04;Loja B;Refrigerante;Bebidas;1;26.9;26.9;2501;Transferência
2023-01-31;Loja A;Sabão em Pó;Limpeza;8;40.49;323.92;8640;Dinheiro
2023-08-20;Loja A;Pasta de Dente;Higiene;9;45.52;409.68;2945;Transferência
2022-03-10;Loja B;Refrigerante;Bebidas;4;15.73;62.92;3066;Não informado
2024-06-29;Loja A;Detergente;Limpeza;6;18.43;110.58;2023;Pix
2022-11-18;Loja C;Feijão;Alimentos;6;46.22;277.32;0;Pix
2022-01-16;Loja C;Pasta de Dente;Higiene;5;31.39;156.95;9939;Transferência
2023-02-23;Loja B;Detergente;Limpeza;7;22.53;157.71;2226;Pix
2022-03-01;Loja A;Pasta de Dente;Higiene;8;30.76;246.08;6000;Dinheiro
2022-10-27;Loja C;Refrigerante;Bebidas;5;47.15;235.75;8417;Cartão
2024-05-10;Loja B;Arroz;Alimentos;4;11.18;44.72;6743;Cartão
2022-12-03;Loja C;Cerveja;Bebidas;5;34.89;174.45;3203;Transferência
2024-06-14;Loja B;Arroz;Alimentos;10;3.79;37.9;9520;Transferência
2024-01-27;Loja C;Feijão;Alimentos;8;27.72;221.76;4111;Cartão
2022-04-16;Loja B;Açúcar;Alimentos;2;48.55;97.1;4409;Dinheiro
2022-09-26;Loja C;Feijão;Alimentos;2;41.71;83.42;6140;Dinheiro
2022-01-01;Loja B;Cerveja;Bebidas;5;20.01;100.05;8130;Cartão
2024-10-12;Loja B;Detergente;Limpeza;3;47.46;142.38;3508;Dinheiro
2023-10-22;Loja C;Leite;Alimentos;5;31.47;157.35;0;Dinheiro
2022-01-15;Loja B;Arroz;Alimentos;6;20.71;124.26;9245;Transferência
2024-09-02;Loja B;Refrigerante;Bebidas;8;14.82;118.56;2740;Pix
2022-02-03;Loja C;Açúcar;Alimentos;1;16.42;16.42;5875;Cartão
2022-06-22;Loja C;Shampoo;Higiene;7;40.37;282.59;8559;Transferência
2022-05-22;Loja B;Açúcar;Alimentos;5;23.49;117.45;5301;Cartão
2022-11-23;Loja B;Leite;Alimentos;3;39.8;119.4;4290;Transferência
2024-05-26;Loja A;Refrigerante;Bebidas;5;23.24;116.2;1567;Dinheiro
2023-11-11;Loja B;Feijão;Alimentos;8;10.0;80.0;8496;Pix
2022-06-03;Loja C;Feijão;Alimentos;7;9.92;69.44;2417;Pix
2024-08-27;Loja A;Feijão;Alimentos;8;4.43;35.44;1723;Não informado
2024-02-26;Loja C;Sabão em Pó;Limpeza;4;22.96;91.84;8308;Transferência
2023-01-14;Loja B;Shampoo;Higiene;4;16.44;65.76;3089;Transferência
2022-11-29;Loja A;Leite;Alimentos;10;47.27;472.7;4095;Dinheiro
2022-07-27;Loja B;Feijão;Alimentos;3;38.22;114.66;6854;Transferência
2023-12-23;Loja B;Pasta de Dente;Higiene;7;38.37;268.59;9395;Transferência
2022-04-03;Loja B;Sabão em Pó;Limpeza;8;28.16;225.28;6262;Transferência
2024-05-27;Loja C;Detergente;Limpeza;2;13.36;26.72;8280;Dinheiro
2022-03-26;Loja A;Shampoo;Higiene;3;35.83;107.49;2367;Transferência
2023-04-13;Loja C;Sabão em Pó;Limpeza;2;22.07;44.14;8555;Cartão
2022-09-18;Loja C;Sabão em Pó;Limpeza;2;49.63;99.26;8675;Pix
2024-10-11;Loja B;Feijão;Alimentos;7;3.25;22.75;3964;Transferência
2024-03-29;Loja C;Pasta de Dente;Higiene;6;8.08;48.48;9146;Transferência
2023-06-18;Loja A;Arroz;Alimentos;10;7.77;77.7;7069;Transferência
2023-08-12;Loja C;Shampoo;Higiene;10;21.22;212.2;0;Pix
2022-01-30;Loja C;Refrigerante;Bebidas;10;18.15;181.5;7476;Dinheiro
2024-01-19;Loja B;Feijão;Alimentos;4;30.4;121.6;9934;Dinheiro
2024-07-26;Loja B;Detergente;Limpeza;2;32.1;64.2;8789;Pix
2023-04-02;Loja C;Feijão;Alimentos;5;38.47;192.35;4702;Pix
2023-10-14;Loja C;Cerveja;Bebidas;10;48.46;484.6;5810;Dinheiro
2024-08-29;Loja A;Detergente;Limpeza;2;38.81;77.62;1010;Cartão
2022-01-27;Loja B;Arroz;Alimentos;9;16.05;144.45;3407;Transferência
2024-08-16;Loja A;Arroz;Alimentos;10;11.23;112.3;9032;Pix
2024-06-15;Loja C;Açúcar;Alimentos;7;37.49;262.43;5009;Cartão
2023-09-11;Loja C;Leite;Alimentos;5;6.71;33.55;4804;Cartão
2022-03-25;Loja B;Pasta de Dente;Higiene;1;16.49;16.49;4352;Pix
2024-05-06;Loja B;Detergente;Limpeza;5;43.61;218.05;7505;Cartão
2024-03-07;Loja C;Açúcar;Alimentos;7;17.43;122.01;2640;Cartão
2022-09-04;Loja A;Pasta de Dente;Higiene;8;34.06;272.48;2331;Cartão
2023-02-23;Loja B;Refrigerante;Bebidas;3;25.75;77.25;1141;Dinheiro
2023-01-31;Loja B;Shampoo;Higiene;2;28.41;56.82;3148;Dinheiro
2023-07-13;Loja B;Leite;Alimentos;2;23.24;46.48;6228;Dinheiro
2023-04-24;Loja B;Sabão em Pó;Limpeza;2;34.5;69.0;5636;Dinheiro
2023-08-17;Loja C;Feijão;Alimentos;6;42.29;253.74;4050;Transferência
2024-01-02;Loja A;Leite;Alimentos;9;28.78;259.02;9991;Transferência
2024-06-15;Loja C;Cerveja;Bebidas;5;38.44;192.2;3541;Pix
2024-01-17;Loja A;Feijão;Alimentos;3;23.24;69.72;4016;Pix
2023-10-25;Loja A;Arroz;Alimentos;7;3.5;24.5;4803;Cartão
2024-08-14;Loja B;Feijão;Alimentos;10;18.18;181.8;9780;Cartão
2022-07-16;Loja A;Feijão;Alimentos;10;43.86;438.6;5959;Dinheiro
2024-09-05;Loja B;Feijão;Alimentos;9;14.34;129.06;7300;Dinheiro
2022-03-08;Loja C;Feijão;Alimentos;7;35.99;251.93;7221;Transferência
2023-12-01;Loja B;Sabão em Pó;Limpeza;4;11.74;46.96;1264;Pix
2022-09-02;Loja A;Detergente;Limpeza;9;47.9;431.1;5467;Dinheiro
2023-11-05;Loja C;Leite;Alimentos;7;17.11;119.77;1865;Dinheiro
2022-09-27;Loja C;Pasta de Dente;Higiene;1;23.24;23.24;8869;Transferência
2023-11-02;Loja C;Pasta de Dente;Higiene;3;27.42;82.26;8316;Cartão
2022-06-27;Loja C;Detergente;Limpeza;4;5.36;21.44;1320;Transferência
2024-09-17;Loja A;Detergente;Limpeza;7;19.37;135.59;5755;Pix
2023-08-12;Loja B;Leite;Alimentos;6;17.83;106.98;7680;Dinheiro
2024-10-29;Loja A;Refrigerante;Bebidas;5;44.44;222.2;3450;Dinheiro
2022-02-08;Loja A;Pasta de Dente;Higiene;3;12.57;37.71;8397;Dinheiro
2022-11-20;Loja B;Sabão em Pó;Limpeza;3;40.77;122.31;3202;Dinheiro
2023-06-29;Loja B;Detergente;Limpeza;6;27.06;162.36;7713;Cartão
2022-04-13;Loja A;Detergente;Limpeza;10;16.12;161.2;9639;Transferência
2023-06-28;Loja C;Cerveja;Bebidas;6;30.91;185.46;2991;Dinheiro
2024-11-05;Loja C;Açúcar;Alimentos;9;10.95;98.55;5131;Transferência
2023-05-21;Loja B;Açúcar;Alimentos;4;37.39;149.56;9125;Cartão
2022-06-29;Loja A;Shampoo;Higiene;1;47.84;47.84;5852;Transferência
2024-10-28;Loja B;Arroz;Alimentos;7;36.22;253.54;5520;Transferência
2024-04-14;Loja B;Pasta de Dente;Higiene;1;31.04;31.04;4941;Transferência
2024-06-01;Loja C;Refrigerante;Bebidas;8;35.4;283.2;4813;Cartão
2023-02-25;Loja C;Sabão em Pó;Limpeza;8;23.12;184.96;7153;Cartão
2024-09-24;Loja B;Cerveja;Bebidas;1;23.24;23.24;5718;Pix
2023-08-11;Loja C;Arroz;Alimentos;3;23.24;69.72;3794;Cartão
2022-02-25;Loja A;Arroz;Alimentos;10;12.01;120.1;1336;Dinheiro
2022-09-14;Loja C;Pasta de Dente;Higiene;7;1.74;12.18;7748;Transferência
2023-05-28;Loja B;Refrigerante;Bebidas;9;8.46;76.14;8783;Dinheiro
2023-06-13;Loja A;Sabão em Pó;Limpeza;2;25.07;50.14;5706;Transferência
2023-01-24;Loja C;Pasta de Dente;Higiene;3;7.67;23.01;7871;Pix
2024-10-04;Loja B;Detergente;Limpeza;4;23.44;93.76;8509;Dinheiro
2024-12-22;Loja A;Arroz;Alimentos;8;27.98;223.84;1724;Transferência
2024-02-20;Loja B;Arroz;Alimentos;6;23.24;139.44;6732;Cartão
2022-03-07;Loja C;Detergente;Limpeza;5;23.24;116.2;9246;Transferência
2022-12-18;Loja B;Arroz;Alimentos;5;2.29;11.45;5155;Pix
2022-03-25;Loja A;Detergente;Limpeza;8;23.24;185.92;5983;Transferência
2022-07-19;Loja C;Sabão em Pó;Limpeza;9;33.23;299.07;1302;Dinheiro
2024-03-21;Loja A;Shampoo;Higiene;9;24.08;216.72;6331;Transferência
2023-03-30;Loja A;Arroz;Alimentos;10;6.39;63.9;1893;Cartão
2024-11-25;Loja B;Pasta de Dente;Higiene;6;3.33;19.98;9710;Dinheiro
2024-03-08;Loja B;Shampoo;Higiene;9;24.32;218.88;5112;Cartão
2024-12-06;Loja C;Açúcar;Alimentos;5;44.31;221.55;8559;Dinheiro
2023-06-11;Loja C;Arroz;Alimentos;9;33.62;302.58;2094;Pix
2022-01-11;Loja A;Leite;Alimentos;10;34.53;345.3;5689;Pix
2024-09-19;Loja C;Arroz;Alimentos;3;19.14;57.42;7526;Cartão
2024-10-27;Loja C;Leite;Alimentos;3;18.79;56.37;2737;Transferência
2022-07-19;Loja C;Detergente;Limpeza;8;20.2;161.6;8146;Cartão
2023-01-07;Loja B;Shampoo;Higiene;6;23.24;139.44;7583;Transferência
2022-05-30;Loja C;Feijão;Alimentos;3;29.36;88.08;3048;Transferência
2022-07-24;Loja A;Feijão;Alimentos;9;35.6;320.4;5940;Transferência
2024-09-05;Loja B;Açúcar;Alimentos;1;23.24;23.24;8762;Cartão
2022-04-02;Loja A;Detergente;Limpeza;9;27.16;244.44;7985;Cartão
2022-03-30;Loja C;Açúcar;Alimentos;2;9.63;19.26;1121;Transferência
2023-03-19;Loja C;Pasta de Dente;Higiene;10;22.53;225.3;5825;Transferência
2022-06-21;Loja B;Detergente;Limpeza;8;35.06;280.48;6573;Cartão
2022-05-24;Loja A;Açúcar;Alimentos;5;42.06;210.3;2579;Cartão
2024-03-18;Loja C;Shampoo;Higiene;7;22.39;156.73;8762;Dinheiro
2023-05-06;Loja A;Pasta de Dente;Higiene;4;12.31;49.24;4545;Cartão
2022-08-17;Loja B;Leite;Alimentos;8;37.39;299.12;4397;Transferência
2023-10-27;Loja A;Açúcar;Alimentos;1;10.32;10.32;1666;Cartão
2024-08-27;Loja A;Leite;Alimentos;6;45.34;272.04;2317;Dinheiro
2023-08-27;Loja C;Cerveja;Bebidas;5;23.24;116.2;1436;Cartão
2023-11-24;Loja C;Arroz;Alimentos;6;16.76;100.56;6747;Transferência
2024-02-07;Loja A;Leite;Alimentos;3;37.73;113.19;2043;Dinheiro
2024-12-02;Loja B;Pasta de Dente;Higiene;2;47.96;95.92;5417;Pix
2022-08-16;Loja A;Leite;Alimentos;5;39.1;195.5;1200;Dinheiro
