Data;Loja;Produto;Categoria;Quantidade;Preço Unitário;Total Venda;Cliente_ID;Forma_Pagamento
2022-01-18;Loja B;Refrigerante;Bebidas;3.0;7.5;22.5;6727.0;Dinheiro
2024-12-29;Loja B;Leite;Alimentos;5.0;14.74;73.7;2120.0;Transferência
2023-03-21;Loja C;Refrigerante;Bebidas;2.0;;72.6;5353.0;Transferência
2022-08-03;Loja C;Feijão;Alimentos;4.0;26.75;107.0;6835.0;Transferência
2022-06-29;Loja C;Feijão;Alimentos;7.0;30.47;213.29;5824.0;Dinheiro
2023-12-27;Loja A;Refrigerante;Bebidas;9.0;15.64;;8287.0;Pix
2022-02-20;Loja B;Leite;Alimentos;5.0;19.59;97.95;4872.0;Dinheiro
2023-05-01;Loja C;Feijão;Alimentos;7.0;39.36;275.52;5169.0;Cartão
2023-06-13;Loja A;Arroz;Alimentos;9.0;2.75;24.75;2876.0;Cartão
2023-02-24;Loja C;Sabão em Pó;Limpeza;4.0;4.29;17.16;3029.0;Dinheiro
2022-03-29;Loja B;Pasta de Dente;Higiene;;31.21;;1659.0;Dinheiro
2024-10-26;Loja A;Refrigerante;Bebidas;-4.0;16.74;;5087.0;Cartão
2024-10-28;Loja B;Açúcar;Alimentos;5.0;21.0;105.0;1609.0;Cartão
2024-06-20;Loja C;Refrigerante;Bebidas;2.0;2.91;5.82;9371.0;Transferência
2024-06-01;Loja B;Arroz;Alimentos;5.0;10.27;51.35;4418.0;Pix
2023-09-25;Loja B;Cerveja;Bebidas;9.0;22.04;198.36;7318.0;Pix
2022-02-14;Loja A;Feijão;Alimentos;3.0;28.47;;9480.0;Cartão
2023-08-08;Loja C;Açúcar;Alimentos;9.0;34.16;307.44;8996.0;Pix
2023-06-05;Loja B;Leite;Alimentos;3.0;24.99;;8362.0;Pix
2023-06-02;Loja B;Pasta de Dente;Higiene;6.0;29.71;178.26;4321.0;Transferência
2022-03-04;Loja B;Sabão em Pó;Limpeza;5.0;16.05;80.25;5777.0;Pix
2022-05-28;Loja C;Sabão em Pó;Limpeza;7.0;26.15;183.05;2164.0;Transferência
2023-10-16;Loja B;Arroz;Alimentos;9.0;16.59;149.31;4498.0;Dinheiro
2023-04-09;Loja C;Shampoo;Higiene;4.0;35.25;;7447.0;Cartão
2023-09-17;Loja B;Sabão em Pó;Limpeza;5.0;41.55;207.75;4349.0;Pix
2022-06-12;Loja A;Sabão em Pó;Limpeza;7.0;23.95;167.65;3882.0;Cartão
2022-01-01;Loja B;Detergente;Limpeza;4.0;44.87;179.48;4135.0;Pix
2023-01-20;Loja A;Cerveja;Bebidas;9.0;-10.14;;2471.0;Transferência
2023-01-27;Loja B;Arroz;Alimentos;1.0;45.05;45.05;6029.0;Pix
2023-05-10;Loja A;Sabão em Pó;Limpeza;2.0;47.25;94.5;6759.0;Dinheiro
2022-01-08;Loja A;Shampoo;Higiene;1.0;20.32;20.32;5852.0;Cartão
2023-12-09;Loja C;Pasta de Dente;Higiene;9.0;-41.96;;8619.0;Cartão
2023-06-04;Loja B;Refrigerante;Bebidas;1.0;26.9;26.9;2501.0;Transferência
2023-01-31;Loja A;Sabão em Pó;Limpeza;8.0;40.49;323.92;8640.0;Dinheiro
2023-08-20;Loja A;Pasta de Dente;Higiene;9.0;45.52;;2945.0;Transferência
2022-03-10;Loja B;Refrigerante;Bebidas;4.0;15.73;62.92;3066.0;
2024-06-29;;Detergente;Limpeza;6.0;18.43;110.58;2023.0;Pix
2022-11-18;Loja C;Feijão;Alimentos;6.0;46.22;277.32;;Pix
2022-01-16;Loja C;Pasta de Dente;Higiene;5.0;31.39;156.95;9939.0;Transferência
2023-02-23;Loja B;Detergente;Limpeza;7.0;22.53;157.71;2226.0;Pix
2022-03-01;Loja A;Pasta de Dente;Higiene;8.0;30.76;246.08;6000.0;Dinheiro
2022-10-27;Loja C;Refrigerante;Bebidas;5.0;47.15;235.75;8417.0;Cartão
2024-05-10;Loja B;Arroz;Alimentos;4.0;11.18;44.72;6743.0;Cartão
2022-12-03;Loja C;Cerveja;Bebidas;5.0;34.89;174.45;3203.0;Transferência
2024-06-14;Loja B;Arroz;Alimentos;10.0;3.79;37.9;9520.0;Transferência
2024-01-27;Loja C;Feijão;Alimentos;8.0;27.72;221.76;4111.0;Cartão
2022-04-16;Loja B;Açúcar;Alimentos;2.0;48.55;97.1;4409.0;Dinheiro
2022-09-26;Loja C;Feijão;Alimentos;;41.71;;6140.0;Dinheiro
2022-01-01;Loja B;Cerveja;Bebidas;5.0;20.01;100.05;8130.0;Cartão
2024-10-12;Loja B;Detergente;Limpeza;3.0;47.46;142.38;3508.0;Dinheiro
2023-10-22;Loja C;Leite;Alimentos;5.0;31.47;157.35;;Dinheiro
2022-01-15;Loja B;Arroz;Alimentos;6.0;20.71;124.26;9245.0;Transferência
2024-09-02;Loja B;Refrigerante;Bebidas;8.0;14.82;118.56;2740.0;Pix
2022-02-03;Loja C;Açúcar;Alimentos;1.0;16.42;16.42;5875.0;Cartão
2022-06-22;Loja C;Shampoo;Higiene;7.0;40.37;282.59;8559.0;Transferência
2022-05-22;Loja B;Açúcar;Alimentos;5.0;23.49;117.45;5301.0;Cartão
2022-11-23;Loja B;Leite;Alimentos;3.0;39.8;119.4;4290.0;Transferência
2024-05-26;Loja A;Refrigerante;Bebidas;5.0;-3.2;;1567.0;Dinheiro
2023-11-11;Loja B;Feijão;Alimentos;8.0;10.0;80.0;8496.0;Pix
2022-06-03;Loja C;Feijão;Alimentos;7.0;9.92;69.44;2417.0;Pix
2024-08-27;Loja A;Feijão;Alimentos;8.0;4.43;35.44;1723.0;
2024-02-26;Loja C;Sabão em Pó;Limpeza;4.0;22.96;91.84;8308.0;Transferência
2023-01-14;Loja B;Shampoo;Higiene;4.0;16.44;;3089.0;Transferência
